leagueid,teamid,nationid
76,211,10
76,263,10
76,266,12
76,267,12
76,278,22
76,280,22
1003,383,54
76,393,22
1003,517,54
1014,567,54
1014,568,54
1014,569,54
1003,598,54
1014,1035,54
1014,1041,54
1003,1043,54
1003,1048,54
78,1318,14
78,1328,10
78,1330,12
78,1331,13
78,1334,17
78,1335,18
78,1337,21
78,1341,24
78,1343,27
78,1352,36
78,1353,37
78,1354,38
78,1355,25
78,1356,39
78,1359,42
78,1362,45
78,1363,46
78,1366,49
78,1367,50
78,1369,52
78,1386,83
78,1387,95
1003,1598,54
1014,1629,54
1014,1719,54
76,1874,23
76,1884,22
78,1886,23
76,1960,50
76,1961,50
1003,15029,55
76,100135,11
76,100325,17
76,101047,49
76,101059,49
1014,101099,56
1003,101100,56
1014,101106,56
1003,101108,58
1003,101110,60
76,101112,70
78,105035,34
78,110081,35
76,110468,12
1003,110968,53
76,110975,55
1014,110977,55
1003,110980,55
1003,110981,57
1003,110986,57
1014,110989,61
1003,110990,61
1003,110991,61
1014,111006,58
1003,111008,58
1003,111010,59
1014,111011,59
1003,111013,59
1003,111014,59
1003,111052,54
78,111111,129
76,111139,70
76,111205,211
1003,111325,60
1014,111328,55
1014,111329,58
1014,111334,59
78,111462,117
78,111527,182
76,111596,211
76,111651,70
76,111701,190
76,111766,198
76,112254,50
1014,112531,55
1014,112615,60
1014,112667,53
1003,112716,58
1014,112868,60
1003,112908,57
1003,112992,56
2136,113000,70
2136,113002,14
2136,113003,18
2136,113004,21
2136,113007,36
2136,113008,46
2136,113009,95
2136,113010,83
2136,113011,34
2136,113012,45
76,113888,5
2136,113984,42
2136,113996,52
1014,114581,57
1014,114598,59
1014,114611,61
1014,114615,57
1014,115536,60
2136,115682,38
2226,116033,18
2226,116034,18
2226,116280,27
2226,116282,27
2136,116428,24
76,130000,211
76,130001,211
2136,131124,17
2226,131358,38
2226,131359,34
2226,131360,12
2226,131361,47
2226,131362,46
2226,131363,42
1003,131795,53
1014,132375,53
